mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
27.445488770802815,0.0967992328175263,0.4659796555836995,0.01543315390606854,0.8,0.1,3,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.33513513513513515,0.26519337016574585,0.35175879396984927,0.3173624330902434,0.03750817558060627,15
28.805317401885986,0.20723440375644098,0.5219282309214274,0.07496919011045926,0.8,0.1,3,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.31958762886597936,0.3564356435643564,0.35602094240837695,0.3440147382795709,0.017273404412368985,8
44.94162082672119,0.7205596082117272,1.2155168056488037,0.26996001018045923,0.8,0.1,3,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.35978835978835977,0.34554973821989526,0.3645320197044335,0.3566233725708962,0.008066168468965164,4
44.318732261657715,1.5079342557789188,1.553231159845988,0.3123470618900536,0.8,0.1,3,200,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.32989690721649484,0.35175879396984927,0.3316062176165803,0.33775397293430814,0.009927460054116278,9
66.8668909072876,0.4514054422253633,1.740486780802409,0.16404823141609062,0.8,0.1,6,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.327683615819209,0.3541666666666667,0.2553191489361702,0.31238981047401526,0.0417782503369294,16
55.82985734939575,9.23109533373661,0.5710229873657227,0.6827765128227349,0.8,0.1,6,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.33879781420765026,0.3283582089552239,0.3010752688172043,0.32274376399335947,0.015903649515251042,14
63.75114703178406,0.261268666289347,0.11380720138549805,0.03568263749693428,0.8,0.1,6,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.37158469945355194,0.3553299492385787,0.2694300518134715,0.332114900168534,0.04481887166593021,13
60.484476725260414,2.0841021721949713,0.04752310117085775,0.03365823169331145,0.8,0.1,6,200,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.3492063492063492,0.3384615384615385,0.31521739130434784,0.33429509299074517,0.014185245050446504,11
12.785455703735352,0.718863656164301,0.020434856414794922,0.004304164293564497,0.8,0.2,3,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.39800995024875624,0.41545893719806765,0.29743589743589743,0.37030159496090714,0.05201393526895115,2
11.546899398167929,0.2873931562011213,0.029012759526570637,0.005919403247980728,0.8,0.2,3,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.3804347826086957,0.36097560975609755,0.31413612565445026,0.35184883933974787,0.027825065823926288,6
24.50549117724101,0.4924212181549288,0.05344764391581217,0.007836771379520187,0.8,0.2,3,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.4,0.4077669902912621,0.3282051282051282,0.3786573728321301,0.035815762595755446,1
26.759628375371296,0.7360350941527068,0.035889387130737305,0.007040256641774617,0.8,0.2,3,200,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.34408602150537637,0.35406698564593303,0.336734693877551,0.34496256700962014,0.007102972781487964,7
29.38924479484558,0.9955189820518219,0.026595036188761394,0.0036038936140698045,0.8,0.2,6,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.32085561497326204,0.38341968911917096,0.36,0.35475843469747764,0.025809188913371552,5
22.563828706741333,3.681987736592646,0.01264047622680664,0.001661922775952735,0.8,0.2,6,100,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.3225806451612903,0.37755102040816324,0.3010752688172043,0.3337356447955526,0.03220207713777491,12
21.883810599644978,0.8898058196443696,0.00867915153503418,0.001105196637630142,0.8,0.2,6,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",0.36649214659685864,0.4079601990049751,0.3283582089552239,0.3676035181856859,0.03250687686297073,3
19.41702683766683,0.7630414102838499,0.004938761393229167,0.00033984499798542114,0.8,0.2,6,200,0,1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0}",0.3333333333333333,0.3645833333333333,0.3118279569892473,0.336581541218638,0.0216594178769291,10
